O ano de 2016 representa o marco da Crise no Brasil.

79	O	01001111
32	espaço	00100000
97	a	01100001
110	n	01101110
111	o	01101111
32	espaço	00100000
100	d	01100100
101	e	01100101
32	espaço	00100000
50	2	00110010
48	0	00110000
49	1	00110001
54	6	00110110
32	espaço	00100000
114	r	01110010
101	e	01100101
112	p	01110000
114	r	01110010
101	e	01100101
115	s	01110011
101	e	01100101
110	n	01101110
116	t	01110100
97	a	01100001
32	espaço	00100000
111	o	01101111
32	espaço	00100000
109	m	01101101
97	a	01100001
114	r	01110010
99	c	01100011
111	o	01101111
32	espaço	00100000
100	d	01100100
97	a	01100001
32	espaço	00100000
67	C	01000011
114	r	01110010
105	i	01101001
115	s	01110011
101	e	01100101
32	espaço	00100000
110	n	01101110
111	o	01101111
32	espaço	00100000
66	B	01000010
114	r	01110010
97	a	01100001
115	s	01110011
105	i	01101001
108	l	01101100
46 	.	00101110
